Time [s],Reb PC,Env PC
23.024388000,0,1
23.025326000,1,1
23.025534000,0,1
23.025638000,1,1
23.025846000,0,1
23.026368000,1,1
23.037614000,1,0
23.037718000,1,1
23.037822000,1,0
23.037926000,1,1
23.038134000,1,0
23.038550000,1,1
23.038654000,1,0
23.038864000,1,1
23.039072000,1,0
23.039384000,1,1
23.039488000,1,0
23.039592000,1,1
23.072308000,0,1
23.073246000,1,1
23.073454000,0,1
23.073662000,1,1
23.073766000,0,1
23.074288000,1,1
23.085636000,1,0
23.085740000,1,1
23.085844000,1,0
23.085948000,1,1
23.086156000,1,0
23.086574000,1,1
23.086678000,1,0
23.086886000,1,1
23.087094000,1,0
23.087406000,1,1
23.087510000,1,0
23.087616000,1,1
23.120332000,0,1
23.121270000,1,1
23.121478000,0,1
23.121688000,1,1
23.121790000,0,1
23.122312000,1,1
23.133550000,1,0
23.133654000,1,1
23.133758000,1,0
23.133862000,1,1
23.134070000,1,0
23.134488000,1,1
23.134592000,1,0
23.134800000,1,1
23.135008000,1,0
23.135320000,1,1
23.135424000,1,0
23.135528000,1,1
23.168252000,0,1
23.169190000,1,1
23.169398000,0,1
23.169608000,1,1
23.169710000,0,1
23.170232000,1,1
23.181668000,1,0
23.181772000,1,1
23.181876000,1,0
23.181980000,1,1
23.182188000,1,0
23.182606000,1,1
23.182710000,1,0
23.182918000,1,1
23.183128000,1,0
23.183440000,1,1
23.183544000,1,0
23.183648000,1,1
23.216380000,0,1
23.217318000,1,1
23.217526000,0,1
23.217736000,1,1
23.217838000,0,1
23.218360000,1,1
23.229576000,1,0
23.229680000,1,1
23.229784000,1,0
23.229888000,1,1
23.230096000,1,0
23.230514000,1,1
23.230618000,1,0
23.230826000,1,1
23.231034000,1,0
23.231346000,1,1
23.231450000,1,0
23.231556000,1,1
23.264300000,0,1
23.265238000,1,1
23.265446000,0,1
23.265552000,1,1
23.265758000,0,1
23.266280000,1,1
23.277578000,1,0
23.277682000,1,1
23.277786000,1,0
23.277890000,1,1
23.278096000,1,0
23.278514000,1,1
23.278618000,1,0
23.278826000,1,1
23.279034000,1,0
23.279348000,1,1
23.279452000,1,0
23.279556000,1,1
23.312324000,0,1
23.313264000,1,1
23.313470000,0,1
23.313680000,1,1
23.313782000,0,1
23.314304000,1,1
23.325494000,1,0
23.325598000,1,1
23.325702000,1,0
23.325806000,1,1
23.326016000,1,0
23.326432000,1,1
23.326536000,1,0
23.326744000,1,1
23.326952000,1,0
23.327266000,1,1
23.327370000,1,0
23.327474000,1,1
23.360244000,0,1
23.361182000,1,1
23.361390000,0,1
23.361600000,1,1
23.361702000,0,1
23.362224000,1,1
23.373614000,1,0
23.373718000,1,1
23.373822000,1,0
23.373926000,1,1
23.374134000,1,0
23.374552000,1,1
23.374656000,1,0
23.374864000,1,1
23.375072000,1,0
23.375384000,1,1
23.375490000,1,0
23.375594000,1,1
23.408372000,0,1
23.409312000,1,1
23.409518000,0,1
23.409728000,1,1
23.409830000,0,1
23.410354000,1,1
23.421540000,1,0
23.421644000,1,1
23.421748000,1,0
23.421852000,1,1
23.422060000,1,0
23.422478000,1,1
23.422582000,1,0
23.422790000,1,1
23.422998000,1,0
23.423310000,1,1
23.423414000,1,0
23.423518000,1,1
23.456292000,0,1
23.457230000,1,1
23.457438000,0,1
23.457544000,1,1
23.457750000,0,1
23.458272000,1,1
23.469546000,1,0
23.469650000,1,1
23.469754000,1,0
23.469858000,1,1
23.470066000,1,0
23.470482000,1,1
23.470586000,1,0
23.470796000,1,1
23.471004000,1,0
23.471316000,1,1
23.471420000,1,0
23.471524000,1,1
23.504212000,0,1
23.505150000,1,1
23.505358000,0,1
23.505568000,1,1
23.505670000,0,1
23.506192000,1,1
23.517454000,1,0
23.517558000,1,1
23.517662000,1,0
23.517766000,1,1
23.517974000,1,0
23.518390000,1,1
23.518494000,1,0
23.518702000,1,1
23.518908000,1,0
23.519220000,1,1
23.519324000,1,0
23.519430000,1,1
23.552132000,0,1
23.553070000,1,1
23.553278000,0,1
23.553488000,1,1
23.553590000,0,1
23.554112000,1,1
23.565460000,1,0
23.565566000,1,1
23.565670000,1,0
23.565774000,1,1
23.565982000,1,0
23.566400000,1,1
23.566504000,1,0
23.566712000,1,1
23.566920000,1,0
23.567234000,1,1
23.567338000,1,0
23.567442000,1,1
23.600156000,0,1
23.601094000,1,1
23.601302000,0,1
23.601512000,1,1
23.601614000,0,1
23.602136000,1,1
23.613362000,1,0
23.613466000,1,1
23.613570000,1,0
23.613676000,1,1
23.613884000,1,0
23.614300000,1,1
23.614404000,1,0
23.614612000,1,1
23.614822000,1,0
23.615134000,1,1
23.615238000,1,0
23.615342000,1,1
23.648076000,0,1
23.649014000,1,1
23.649222000,0,1
23.649328000,1,1
23.649534000,0,1
23.650056000,1,1
23.661384000,1,0
23.661488000,1,1
23.661592000,1,0
23.661696000,1,1
23.661904000,1,0
23.662320000,1,1
23.662424000,1,0
23.662632000,1,1
23.662840000,1,0
23.663154000,1,1
23.663258000,1,0
23.663362000,1,1
23.696100000,0,1
23.697038000,1,1
23.697246000,0,1
23.697352000,1,1
23.697558000,0,1
23.698080000,1,1
23.709390000,1,0
23.709494000,1,1
23.709598000,1,0
23.709702000,1,1
23.709912000,1,0
23.710328000,1,1
23.710432000,1,0
23.710640000,1,1
23.710848000,1,0
23.711160000,1,1
23.711264000,1,0
23.711368000,1,1
23.744124000,0,1
23.745062000,1,1
23.745270000,0,1
